"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"10/05/2026 22:30:00 - 10/05/2026 22:45:00","BZN|DE-LU","Biomass","4376.62"
"10/05/2026 22:45:00 - 10/05/2026 23:00:00","BZN|DE-LU","Biomass","4354.14"
"10/05/2026 23:00:00 - 10/05/2026 23:15:00","BZN|DE-LU","Biomass","4288.59"
"10/05/2026 23:15:00 - 10/05/2026 23:30:00","BZN|DE-LU","Biomass","4257.82"
"10/05/2026 23:30:00 - 10/05/2026 23:45:00","BZN|DE-LU","Biomass","4248.28"
"10/05/2026 23:45:00 - 11/05/2026 00:00:00","BZN|DE-LU","Biomass","4231.57"
"10/05/2026 00:00:00 - 10/05/2026 00:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 00:15:00 - 10/05/2026 00:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 00:30:00 - 10/05/2026 00:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 00:45:00 - 10/05/2026 01:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 01:00:00 - 10/05/2026 01:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 01:15:00 - 10/05/2026 01:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 01:30:00 - 10/05/2026 01:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 01:45:00 - 10/05/2026 02:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 02:00:00 - 10/05/2026 02:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 02:15:00 - 10/05/2026 02:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 02:30:00 - 10/05/2026 02:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 02:45:00 - 10/05/2026 03:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 03:00:00 - 10/05/2026 03:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 03:15:00 - 10/05/2026 03:30:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 03:30:00 - 10/05/2026 03:45:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 03:45:00 - 10/05/2026 04:00:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 04:00:00 - 10/05/2026 04:15:00","BZN|DE-LU","Energy storage","n/e"
"10/05/2026 04:15:00 - 10/05/2026 04:30:00","BZN|DE-LU","Energy storage","n/e"
